question	"answer""If I ask questions about Jimmy Wales as anonymous"	" can Quora reveal my real identity to him?"""
How can you describe the difference between a Latino and a Hispanic?	"Latino is a regional or geographic designation and in the USA is usually ascribed to people originally from the Caribbean, Central- or South-America.
Hispanic is a linguistic designation for people originating from Spanish-speaking countries. So people from Spain would also be Hispanic while those from Brazil would not.
"	
Will a narcissist who dates several different women at a time ever change to only one?	"There are three main reasons why Narcissists date more than one person at a time, and only one of these reasons leads to an intimate and committed relationship.
Many Narcissists who are dating multiple people for ?õ????Reason 1?õ???ù do marry and settle down monogamously with one person, but these are the ones who actually have that as one of their life goals. They want an intimate partner, even though they lack many of the skills that make for a successful one-on-one relationship. These are the Narcissists who date multiple people in an attempt to find that perfect, special person who will meet all their needs. They may be unrealistic about what they expect from their partner, but they are committed to finding a life partner.
A2A
In private practice in NYC and the author of the book:
"	
Which is the best Kangana Ranaut movie and why?	"Kangana is a fine actress. She has few very good movies in her filmography.
As per interest of an individual choice of films would vary. According to me her best movie would be
Tanu Weds Manu is a wholesome entertainer, one could watch this movie anytime. I would not say her performance in the movie is best but is among one of her best. But as a movie this is the best of her. It has comedy, emotions, drama and of course music as well.
Few more movies which one may watch:
"	
What's the best way to study anatomy in the faculty of medicine?	"Study basic anatomy concepts like cell,tissue ,organs and systems .
Draw them in colour so that your memory is enhanced .
Draw them repeatedly till you have sheets of papers lying all around you .
Once these images in colour are ingrained you will find studying anatomy much easier .
"	
What is it like to live in the Richmond district of San Francisco?	"Yep, John Ruzicka summed it up very nicely.
There are many more everyday enjoyments of just living in the Richmond District.
Scroll Down?õ????
____________________________________________________
FREE
And..the
While you?õ????re in Golden Gate Park?õ????bring your Frisbee for
And on occasion, at 2:30 am, you?õ????ll be woken up to the sound of some happy, drunk Russians singing as they?õ????re walking home from Russian restaurant and bar, Renaissance. I don?õ????t hear them as much anymore. I kind of miss them.
______________________________________________________
Our
The
For the past 32 years, every March the
______________________________________________________
I?õ????ve seen them walking here and there in our neighborhood. She?õ????s only 4?õ???˝8?õ?????õ????maybe and usually dressed in brown.
He?õ????s perhaps 5?õ???˝11?õ????, but he looks taller with his headdress on. He?õ????s usually dressed in black.
This third group is easier to spot as the father has a full beard and a wide-brimmed black hat, their son has the side locks, and the wife has a beautifully coifed head of hair?õ????
I?õ????ve seen that tiny Buddhist nun, who I described above, go walking to the Laundromat to do her laundry?õ????likewise, the Russian Orthodox priest, bag in tow, doing the same. We are all just people, living our lives?õ????
Once?õ????while doing my own laundry at the same place, I accidentally overheard a very non-judgmental conversation between this Russian Orthodox priest and a young 20-something year old guy as they were both folding their items side-by-side. The young guy was folding his concert Ts and ripped jeans. The priest?õ????s appeared to be the usual stuff?õ????.
The young guy didn?õ????t appear to be a one of the priest?õ????s flock, but their conversation was congenial and borderline ?õ????Dude Speak?õ???ù.
I was surprised because that wasn't what I'd expected to come out of the mouth of a guy in a long-black priest?õ????s robe.
I may have caught them on a good day. (Former Catholic here?õ????
The Hasidic Jewish family was a surprise to me. I hadn?õ????t realized they were not all in New York? I learn something new every day.
I know we have several Jewish Synagogues in the Richmond and one is just a few blocks up.
Their little one has grown up since and they all walk together now. I mostly see the father and son chatting happily as they?õ????re out and about for a walk. They seem happy.
Our little corner in the Richmond District epitomizes the diversity of the world. Gaia?õ????s followers abound, as do Buddhist of every stripe, and Christians of many denominations. I?õ????m sure there are also Sufis, Jains, Muslims, Zoroastrians, Pantheists, Atheists?õ????and lots of Wiccan. Always?õ????lots of Wiccan. I generally like Wiccan.
Like John Ruzicka said,
San Francisco, and the Richmond District especially, embrace
______________________________________________________
When I?õ????m out and about in the Richmond, I catch some Pho, Sushi, Japanese Curry, or Vietnamese wraps...and I?õ????m so happy. If my Husband is feeling nostalgic for Hong Kong, we go to
Creations Dessert house is a big deal in Hong Kong and one of the things my husband remembers from his childhood there. He?õ????s been a San Franciscan since he was 8 years old and still loves big, loud cities that never sleep. He adores IM Pei?õ????s Architecture.
When we?õ????re at Creations, he gets little fried things and some Mango Pudding with extra mango. Lol. I like their Fresh Young Coconut with Stewed Bird?õ????s Nest and Curry Fish Balls.
Their Chrysanthemum Tea is fragrant, barely sweet and musky while still light and bright.
Creations is open till 2 am.
If I?õ????m nostalgic for home, and my Great-Nonni and my Mom?õ????s Italian cooking, there?õ????s always
Mescolanza smells right and it TASTES oh so right! They make my Nonni?õ????s minestrone and my Mom?õ????s pastas and sauces. The Gorgonzola and Radicchio salad is one of my favs. Honestly?õ????Gorgonzola on an old shoe would be one of my favs. Lol. DO?õ????ask for something not on the menu: Gorgonzola sauce over any pasta. I love it on gnocchi.
A part of my childhood comes back to life when I inhale memories here. Their ravioli is so tender, yet with that bit of delightful firmness between my tongue and my palate?õ????with whichever sauce cradles it, caressing the whole of my mind like surround sound. So many smells from my childhood in Napa. Ah...the smells of home.
My husband has been known to buy extra Tikka Masala Sauce and Garlic Naan, To-Go?õ????. just to stretch out this
______________________________________________________
And?õ????. on Sundays, on Clement St. (Unofficially...SF?õ????s China Town 2), we have a big
They have everything else you?õ????d expect, too. Lots of Organic growers, some No-Pesticide growers getting reading for Organic Certifications, and lot of other offerings, too. I bought a Shallot Relish there once from a Grower?õ????s Collective. It was excellent and the concept made me happy buying it, too.
Clement St. is a treasure for the Richmond. I take my easily impressed relatives there when they visit the City and they feel like they?õ????re in another country.
And yeah?õ????they sort of are and this is the point. This is the China that so many of our SF people know, remember, and need familiar foods, smells, and brands from.
It is a different sensibility to the American mainstream. That aquarium over there with all those tanks of living fish and crabs?õ????well?õ????let?õ????s just say the Chinese are VERY finicky about freshness.
Sundays after the Farmer?õ????s Market?õ????get on over to
There?õ????ll always be a line?õ????
Expect the ladies behind the counter to be rude. They almost all are. Nothing personal.
Try Cheong Fun (Rice Noodle Roll), Pai gwat Fun (BBQ Pork in rice noodle roll, egg tarts, Pork Bao (round buns with BBQ pork inside), Sesame Balls (sweet bean paste inside), try radish cake?õ????and anything else that looks interesting. It?õ????s all so yummy.
______________________________________________________
Down on Clement, close to Arguello, is
The servers and busboys are all personable and the food is American Breakfast classics?õ????with little twists such as Red or Green Sriacha sauce
The Red Beans and Rice?õ????man, this is the stuff! I lived in the South for 10 years and got down to Louisiana often.
Where else can you get a Pulled Pork Eggs Benedict?
If you?õ????ve never had a grit, here?õ????s where you get your credentials.
DO try their Fried Chicken! You will have macaroni and Cheese left over, so essentially, 2 meals.
Go for Brunch and make sure you get there by 2 pm other wise the Beignets and Chicken and Waffles go off the menu!
______________________________________________________
So you ran out of Kwan Loong Oil (Remove the Wind Oil - ?????Ø?????????õ?????˝??)?
Just pop on over to
Remember?õ????This is
While you?õ????re at New May Wah, you can get some fresh vegetables (Chinese Chives, Bitter Melon?õ????and Dao Mew?õ???? if it?õ????s in season). Try some preserved duck eggs.
I love making Jook. Jook is rice porridge with shreds of pork, preserved egg, and other regional additions. I like to add preserved turnip and dried shrimp.
Cruise the frozen food isle and prepared to be amazed / bewildered. Go down the isle with the bottles of sauces?õ????Oh man, I have to hold myself down here.
Try something you have no idea what it is, pick up something frozen or an unfamiliar vegetable?õ???? and ask the check out lady how to cook it. She?õ????ll be all smiles and usually nice about this and she will tell you. Makes them happy you?õ????re interested in their culture.
And don?õ????t forget to get some Vietnamese meat and turnip cake. The Vietnamese Meat is wrapped in foil and held together with string?õ????and sitting on a shelf near the cashiers. It?õ????s precooked, wrapped in a banana leaf, sometimes inside the foil, and NO, it isn?õ????t refrigerated. Don?õ????t worry?õ????It?õ????s OK and fresh daily. Fish sauce apparently kills bacteria.
Go to the back deli case. Stroll along the bakery items on your way back towards the meats and side dishes. You can buy slices of these cloud-covered cakes. Acquaint yourself with the visual delights that promise glories of mouth feel, texture, taste. It?õ????s familiar, but done very differently.
I do like their Armenian Pizzas?õ????which they sell in the deli area at the back of the store. They?õ????re sold stacked in a plastic bag.
Oh, you have to try a jar of Zucchini Ikra on crackers or Lavash. It?õ????s sort of like a vegetable tapenade, but a finer grind and with different spices. The Eggplant Ikra is equally wonderful. The jams and jellies?õ????well, Eastern Europe loves their jams and jellies. Raspberries, Raspberry Jams, and Raspberry chocolate desserts are classic Just try anything that looks good. They have some rather odd soft drink flavors. They taste quite good. Not quite sure what the flavor is called. One has pictures of Pine Trees on the labels?õ????and yet it is a soft drink. My guests liked it fine.
At the back of their store?õ????seek our their refrigerated section. Old World Garlic Sausages strung into rounds, wheels of cheese, sausages like your great-great-great grandfather used to make?õ????
They have a whole isle dedicated to teas.
They have those heavy, solid, Old World breads that are made from rye and hard winter wheat.
Another isle is dedicated to bins of candies in pretty wrappers. Surprises await. (
They have cookies, cakes, and sweets galore!
At Christmas time?õ????this is wonderland. All sorts of things your German and Eastern European friends and relatives memories are made of. Send them some. Bring it to the holiday gathering. Enjoy it yourself.
And for Orthodox Easter you can buy these Russian and Ukranian-style Pysanky / Pyzinka sheaths you place over pre hardboiled eggs that have been dyed. Place these ?õ????dressed?õ???ù eggs into boiled water, and
And of course, the
Hey Ladies?õ????.
They have a variety of wigs, most are fantasy colors, and are just perfect to finish that Bay-To- Breakers or Halloween Costume. Their stock is geared to makeup and cosmetics, and clothing accessories like decorative tights and such. Go all the Way to the Back. There are treasures there my friend. Think?õ????. Asian 5???õ and 10???õ Store.
______________________________________________________
Of course they have beers, ales, and lagers. Got to have my Lager & Lime. Yum!
Also?õ????Bluegrass music, Hard Driving Irish Rock headliners, and musical inventions derived from Mother Ireland?õ????s musical legacy.
On Thursday nights they have Set Dancing. You can show up, pay a few bucks and learn to dance the basics enough to follow along when the regulars arrive. Don?õ????t worry, they?õ????ll all help out the newbies.
And Don?õ????t be surprised if the guy who?õ????s amazing at this Irish Ceili dancing is dark-skinned and looks like he?õ????s from India.
NOTE: The Plough & Stars doesn?õ????t sell food...but you can bring in your own or even have a pizza delivered.
Really?õ????. there?õ????s so much more?õ???? these are
"	
Why are people and other countries overestimating the US's commitment to clean energy?	"You mean, underestimating, right?
The US conservatives have shown they want coal back, and environmental protection is ?õ????bullshit?õ???ù. That means half the American population doesn't believe it is worth protecting the environment. That is a big thing to be scared about.
Meanwhile, countries like Germany and China are investing heavily in solar and wind energy, they are going to the future, the US is going backwards to coal.
Do you have anything that proves that the environment will be protected under states laws? As far as I know 32 states have conservative governors, and conservatives doesn't seem to care for the environment.
"	
Is it possible for a 25-year-old woman to increase her height by 5 inches?	"Not unless you?õ????re a late bloomer, and/or your genetics allow it. If your mother didn?õ????t grow until that age, then you probably won?õ????t grow until age that age either.
At age 25, since females stop growing earlier than males, you?õ????d almost have definitely stopped growing, and your growth plates are closed.
Don?õ????t listen to anyone that says you can increase height naturally, because height is genetically determined.
"	
In which city was the Ellis island immigration depot located?	"Ellis Island, the busiest immigrant inspection gateway in the U.S. for over 60 years, opened the doors to America for over 12 million immigrants starting on January 1, 1892.
It was located in New York and the first view of America would come from the deck of a commercial steamship as it entered New York Harbour. Steerage passengers would board ferries at the East River or Hudson piers, where they would be shuttled to Ellis Island.
If you?õ????d like to know more about Ellis Island and the Immigrants that helped make America great, then I?õ????d suggest reading
"	
Why can Samsung facial recognition be bypassed?	"Samsung?õ????s implementation of face recognition, and the overall ?õ????safety?õ???? of face recognition software are not mutually exclusive.
Based on the article you shared, it looks like Samsung are not performing any ?õ????anti-spoofing?õ???? or ?õ????liveness?õ???? detection (or if they are, it?õ????s not working very effectively!) - so, their implementation is unable to determine the difference between a real person, and a photo or video of a person.
Here?õ????s an example of how ?õ????anti-spoofing/liveness?õ???? works ?õ????
When done right, face recognition is incredibly safe and secure - and not all implementations require liveness detection.
I?õ????ll let you draw your own conclusions about why Samsung?õ????s decided to launch with a sub-par feature.
"	
Could we use the flu to reduce prison appetite and prison violence?	"Wow, that?õ????s an interesting concept. If you check most prison budgets, you will learn that one of the lowest budget items is food.
Also having a prison full of people with flu could result in additional costs for medical attention as well as a potential for deaths.
Wouldn?õ????t a better solution to violence be positive education and programs? Since 95% of all inmates are eventually released, that would be a much more productive way to handle the prison population and create safer communities.
"	
"Among UTD and UFL, which college should I join for MS in Computer Science?"		
What opportunities are there for someone with an AIR of 430 in the 2017 GATE for EE in the general category - especially at the PSUs?	"Job in NALCO is very much possible. Also in state PSUs. Interview call letter expected from IOCL.
"	
"How do you use ""my best"" in a sentence?"	"Here are two examples:
"	
Is it fair for a parent to make a 17 and 13 year old pay for basic toiletries?	"Fair? Fair is a hard concept, because it is so frequently dependent on the individual perspective.
For instance, a 16-year old who is expected to contribute some of his income towards the family upkeep may feel that his parents should let him keep his own money and instead downsize the family into a 1-bedroom ?õ???? he?õ????s willing to share a room with his parents in order to leave them and their bad financial choices behind, in return for getting a jump-start on his own financial situation so that he never ends up in that position. His parents may feel differently about having to share a room with their son, especially if they are providing other aspects of room and board. They may think it?õ????s perfectly fair for them to receive some of his income in return for making the insurance payments on the car that enables that 16-year old to keep his job.
This is, of course, a bit of a dramatic example, but it?õ????s meant to illustrate that family finances are often more complex than they seem on the surface.
The OP speaks of being forced to upgrade their phones rather than switching providers in order to keep the family plan cheaper, but you know, a phone is not a necessity of life for a teenager, much as it might seem to be so. There is no inalienable right of teenager-hood that forces the parent to provide a phone for the child. If the parent had a good reason for not wanting to switch providers (and there are many such), then I suspect that it is quite a bit cheaper overall for the teens as it worked out than it would have been if the parents had set up a separate plan for the teen phones with that other provider and then told them that they were permanently responsible for the entire monthly costs of that plan ?õ???? in other words, ?õ????you want a phone, you pay for the phone?õ???ù.
Rather than address the question of what is fair, I suggest that it is more straightforward to consider the question of what is
I personally believe that the reasonable person standard, when applied here, would say that it is reasonable for a parent to expect teenaged children to contribute to the family upkeep ?õ???? both chores and finances ?õ???? to any extent that is appropriately aligned with their income, and which aligns appropriately with the relative contribution of the parents based on their income. Let?õ????s translate a little:
For some more back and forth on what are reasonable expectations for teen contributions from a paycheck, I refer you to
Before finishing, I?õ????d like to offer my perspective on why it is not only potentially reasonable, but also
My husband and I are fortunate to make a very comfortable living. Part of the reason for this is that we delayed having children; had we started 10 years earlier, our standard of living while raising our children would have been much, much lower than it actually was. The consequence of this is that our children are accustomed to a lifestyle that they are very unlikely to be able to support on their own income immediately after they move out and become responsible for their own upkeep.
In my opinion, we would be doing a poor job as parents if we did not prepare them to be able to maintain a standard of living that is in line with their income. It is therefore imperative that we educate them about the difference between need and want, about delaying gratification when necessary, and how to make decisions about value when shopping.
There is simply no better method to teach financial responsibility than to give children actual practice by handing them control over making many of the banal, every day purchasing decisions that they will have to make later. It leads to conversations like the following one that I had with my daughter:
?õ????Will you please pay the extra so I can buy these nicer binders for school??õ???ù
?õ????No, you have your own budget. If you think they?õ????re worth it, then you can pay for them.?õ???ù
?õ????But I don?õ????t want to.?õ???ù
?õ????So let me get this straight ?õ???? you think they?õ????re better enough in quality that you?õ????re willing to spend
?õ????Dang, I hate it when you have a good argument?õ???ù.
The first year, she stuck with the cheap ones. The second year, she asked again if we would buy them for her, but when we said no, she bought them for herself. In order to help pay the difference, she re-used some supplies from the year before that she normally would buy new every year, and we didn?õ????t even have to suggest it.
"	
Why do people choose to not believe in God even though science has proven his existence?	"It is not really a conscious choice to disbelieve in a religion. It is rather that because the arguments put forward by a religion are not convincing so that people lose their faith.
Let's take Gerald Schroeder's main point: He argues that, according to the current state of scientific knowledge, the universe has a beginning and that it was created from nothing. Creating something from nothing would only be possible if you have the laws of nature. This means, the laws of nature must have predated the universe, which Schroeder concludes is the definition of God.
Let's assume the statement is true that the laws of nature have predated the universe. It doesn't really convince me that they are therefore the God of Abraham. If at all, I could accept the idea of a ""god"" who has set the stage for the universe to be created, but done nothing since 13.77B years.
But then, why should we conclude this ""god"":
Doesn?õ????t this somehow irritate you?
"	
What can I do to learn and be an amateur astronomer in the Bay area?	"That depends on where you live ?õ???? it?õ????s a big area! The Chabot Space & Science Center up in the Oakland hills has some wonderful telescopes, and I?õ????ve heard good things about their telescope making classes. So, that might not be a bad place to start.
I?õ????m familiar with the San Jose Astronomical Association, which is very active in the South Bay, with frequent classes, star parties, and lectures. The Peninsula Astronomical Society is similarly active. There is a bunch of stuff on Meetup.
I think you should check on-line, and find a star party that?õ????s nearby. You can look through some telescopes, and hang out with amateur astronomers and ask them the same question (and get a different answer from each).
[And, while I?õ????m sure you can learn a lot hanging out with people, at some point, you?õ????ll probably want to read a book or two and start frequenting some on-line forums, like CloudyNights.]
"	
If the world turned into the minecraft world and you were with 7 billion people what would be the first step for you to survive?	"Assuming that Minecraft logistics (gravity defying blocks, survival, no cheats, normal) apply, the logical first choice would be to try to get iron armor as fast as possible, and a compatible, reliable food source. Also, I?õ????m also assuming that you keep your skills, and if you?õ????re good at Minecraft In real life, (I?õ????m not including respawning, as that completely renders this question kind of useless).
Because I?õ????m decent at PVP, and all of my friends are more than decent at PVP, I would probably then just go to my friends, seeing as they are more informed at survival. I usually play on servers, instead of single player, so I have only a very limited knowledge on important things like redstone and potions.
Other then that, I would try to establish a base, or maybe stay at my friends?õ???? bases. But you would have guard it really well, given that now everybody can break almost anything with their bare hands. I would probably build an underground base, seeing as it?õ????s harder to find then one on the surface.
So, I would probably just try to group up with my friends, and try to survive using my own knowledge of Minecraft.
Hope this helps! :)
"	
How can I prepare myself to clear the interview for Amazon India as a WDE (Web Development Engineer)?	"At Amazon, when we say WDEs, we look for
Whereas WDE-1s are expected to have all the basics and be able to solve problems and translate them to code correctly, WDE-2s will be expected to also be able to independently
Here are some of the basic skill sets expected -
Generally, WDEs do not focus on problem solving much. This can cause quite a few of them to get eliminated. In the interviews, one needs to demonstrate ability to solve basic problems (such as string manipulations) efficiently and translate those solutions to code. Coding in javascript and CSS will be part of the interviews. You?õ????ll also need to articulate answers to questions around basic behavior on the web around protocols, security or performance. For WDE-2s, design questions and open ended questions may be asked to understand their ability to work on the full-stack. Being able to develop for the mobile may be important. One may be asked questions specific to development for the mobile web.
In addition to these, you will be tested for basic cultural fit. You may want to read about this in my answer to
That is about it.
"	
Can too much porn and masturbation cause erectile dysfunction?	"Its not really erectile dysfunction, this kind of things are only in your head, you're used to satisfy yourself in one way and wasnt able to adjust to a new sexual setting.
I recommend you stop masturbating to porn, try to imagine real girls and try to ejaculate with less stimuli, with that i mean you should try to be more aroused instead of just jacking off like a robot, you can have a higher quality masturbation time.
"	
Can a pill supplement not be dissolved thus will be stuck in stomach?		
How is 666 related to Lucifer?	"Says the Apocalypse that the beast could say greatness and blasphemies by 42 months, adding that their number was 666. We can take each month as being 30 years, obtaining, a period of 1260 years, precisely the period between 610 and 1870 A.D., when the Papacy was consolidated, after his birth, with the emperor Phocas, in 607, and the decree of papal infallibility with Pius IX, in 1870, which noted the decadence and absence of authority of the Vatican, in face of evolution scientific, philosophical and religious of Humanity.
The number 666. We must to search to roman numerals, explaining that is the Supreme Pontiff of the roman church who uses the titles of VICARIVS GENERALIS DEI IN TERRIS, VICARIVS FILII DEI and DVX CLERI meaning Vicar General of God on Earth, Vicar of the Son of God and Prince of the Clergy. It will suffice for the scholar a little game of patience, adding the roman numerals found in each papal title to find the same equation of 666, in each one of them.
"	
Why is type O blood considered universal?	"O
If you get a transfusion of a component that your body doesn't produce in its own blood, the body panics and attacks the blood like an invader - so instead of carrying oxygen and fighting infections and all of those other things the transfusion is supposed to do, you are further compromised by your body using up even more resources destroying the blood that was meant to help.
"	
How can I become famous in the whole world?	"Well, do you have any particular talents that might attract some attention?
If you can sing, dance, act, create art, or play sports, then spend all your time perfecting your talent until you are discovered.
If you do not have any particular skills or talents, then maybe consider having sex with someone famous and accidentally leak the tape. This seems to work very well these days to turn a useless slut into a useless celebrity slut. Obviously not the first choice to try, but if that is what you?õ????re left with for options it should do the trick.
"	
What can be tips for a fat girl for wearing saree?	"Thank you for the A2A.
I always tell people that they should wear something they feel confident in. But the sari is one attire that needs a certain grace to be able to carry it well. I am not so skinny myself and hence I speak from my personal experience of having experimented with saris for over 20 years now ;)
No enormous paisleys.
No enormous roses. No over sized geometric patterns. No horizontal stripes! Hell No!
And definitely no checkered patterns either. I would suggest saris with small floral patterns, small geometric patterns or small yet elegant zari works. This goes a long way, trust me!
Nope. No. Nada. Or just plain No! Trust me. Been there, done that. The floating style of wearing the pallu is the easiest way to do it, I agree. But if you are wearing an opaque sari and if you're not exactly svelte, you'd probably end up looking like a burrito!
Which is what I looked like when I tried this style. It's a different story if the sari is partially transparent. The wearer's body-shape is subtly visible and the burrito image goes out the window ;)
There is absolutely no hint of the body shape from the front and this makes the wearer appear to look bigger than she actually is. There is only a slight view of the midriff from the side and from the backside, and this is also sometimes completely covered up. And if you have a rear you are not too proud of, you'd not want unwanted attention to those areas either. The Gujarati style looks stunning on a normal sized woman who has a pretty waist to show off. And this is the best way to show off those elaborate zari works.
But then you've gotta decide if you would flaunt your zardosi or your best overall look.
I have this flashy bottle green sari with extra heavy gold zari work on it and the blouse came attached with the sari...so obviously it had the same heavy gaudy work on it. It was probably one of the most stupid decisions I have ever taken, but I decided to wear the sari and blouse as a set, thinking that if they have attached the blouse with it, then it was meant to be worn together. Oh what a disaster I looked like that day! I looked better suited to go as a mascot for the Australian Cricket Team rather than for a wedding! *facepalm* I did wear the same sari and the same blouse on several occasions after that day...but I wore a plain silk blouse with it. And it looked fabulous!
It also works the other way around.
And always remember to wear your footwear
Dark colors seem to confuse the beholders about the size of the person wearing the sari. I wear a lot of dark hues of green, blue, maroon and plenty of black! ;)
As opposed to this...
This can however be overlooked if the sari has a border only on one edge...the bottom edge. This style of sari is usually seen in the Kanchipuram silk saris of Tamil Nadu. 'Single-Side Border', they call it.
I prefer to wear saris that are flowy and easy to manage. I do wear a lot of heavy Kanchipuram saris as well but they need to be controlled and this needs a bit of wearing experience. I prefer wearing light silks and thick chiffon for regular wear.
I'm from Kerala and I'm required to wear our traditional saree at times, mostly at festive occasions. It's basically a hand-woven cotton saree with a border made of pure gold threads. This is the only cotton saree I wear and I like wearing as well. It's very light-weight and extremely comfortable to wear.
Phew! I hope that sums up most of the stuff I follow. I will edit this answer if I remember anything else :) Hope this helps.
Happy Dolling Up! :) :) :)
P.S.: A little disclaimer. All the above women look gorgeous and I love all of them, especially when they are in a saree. I may appear to be heavily biased towards Vidya Balan, what with the picture overload...but I can't help it. She is my ultimate fashion idol :D And I can't get anyone else in my mind when I think of a saree. Most of what I have written are rules I have set for myself based on my body type and based on what looks good on me. It may be different for you. Keep experimenting with various styles until you arrive at what you like. Cheers!
"	
What should be server specification for Django and Angular 2 application?	"It depends on what your application is doing and (mostly), how many people are using it at one time. Angular 2 is just Javascript when it?õ????s deployed on your production server - it runs on the client and has no impact on server performance*. Like with any half-way decently designed JS application, the only server loads you should generate ?õ????from JavaScript?õ???ù - meaning from client-side JavaScript - are the processing involved in the AJAX calls - which are handled by your Django REST APIs.
*Caveat - if you?õ????re downloading a huge JavaScript file, that will affect performance of the initial page load. However, there?õ????s an easy way to avoid this. Don?õ????t write huge JavaScript files. As a general rule in Angular 2, place each component, directive, and service in its own file. The generated JavaScript will be build the same way. Angular can also lazy load modules, with some caveats on the design pattern, as discussed here:
"	
"What is healthy body weight for 5'8""?"	"You got 5?õ???˝8 so keep your weight between 72?õ????78 If you working out in gym and have muscle weight as well.
If you not working out in gym ,and you have less muscles percentage ratio then keep it around 68?õ????72 and to maintain that you have to do workout.
Bodyweight workout,HIIT workout lookout some bodyweight exercises here
Stay fit stay strong
Your well wisher
Fitnessinfinity
"	
You are trapped by velociraptors. What do you do?	"Velociraptors were roughly the size of a turkey. It's a toss up between wringing their necks, punting them like a football or taking a belt to them. Doesn't seem very sporting. They?õ????d probably run away.
Diagram via Google images:
"	
What is your opinion regarding the recent Maharashtra doctor strike in March 2017?	"Here I attempt to bust some myths about resident doctors?õ???? strikes and hope to arm the reader with some relevant knowledge. And then the reader is free to form an opinion as to how valid strikes are as a measure. This is taken from a blog post of mine titled ?õ????
This is surely the most ridiculous of corollaries. We see some sensationalist reporters framing headlines like ?õ????Doctors strike in UP: 6 patients die?õ????. I would invite the reporter to go see the records of hospital deaths on any non-strike day, and on most occasions they?õ????ll find similar death statistics. Perhaps they even know that; what matters to them is sensational click-worthy headlines. In fact doctors find it very hard to understand the completely uncalled-for negative reaction of the media to their valid causes.
There are dozens of reasons that can cause the death of a hospitalized patient, but ?õ????doctors on strike?õ???? doesn?õ????t figure anywhere in the list. Whenever there is a fire in a hospital, or a natural calamity, most doctors and healthcare workers rush for patients?õ???? safety first and foremost without caring about their own: that is just their nature. And even when a section of a hospital?õ????s workers goes on strike, there are always other trained, professional personnel present to take care of critical patients. No one is allowed to die due to negligence.
Imagine your next door neighbor playing ear-splitting, deafening, utterly crappy music day in and day out, and you are not even allowed to go to him and tell him to shut it. The only choice you are left with is to suffer. That?õ????s what happens with doctors in India. Remember, for all resident doctors, the government is but a next door neighbor! (In fact if I were the above-mentioned reporter, my sensationalist headline would have read ?õ????Doctors?õ???? Strike: Apathetic Govt Kills 6 Patients?õ????.)
Almost every day doctors have to encounter the government in all its various (frequently vicious) avatars: corruption, apathy, helplessness to assist genuine patients, archaic rules and laws, nonsensical regulations, MLAs and local politicians making unethical demands, etc. There are endless issues in the healthcare system and doctors bear the brunt bravely and silently most of the time. But every once in a while the govt makes it absolutely impossible for them to work in the status quo, with some explosion becoming unavoidably necessary to shake lethargic authorities. A strike is only a last resort, and if people are seeing strikes more frequently these days, then they better ruminate on how hopeless the administration has become that a last resort mechanism has to be employed more often.
It is a common property of social systems: if unjust rules and laws are not taken back by an authority, then non-cooperation remains the most peaceful way to protest. There is nothing wrong with doctors going on strike for the right reasons, more so because ultimately the benefits trickle down to the only all-important entity of any health system: the patient; satisfied doctors and better facilities always result in better patient services.
There are two issues here. Firstly, why should demanding a better pay be considered wrong? And secondly, more medico strikes happen for better security, infrastructure, and quality of life than for better pay.
Everyone wants a good salary, and society and media should now seriously do away with this age-old practice of expecting some kind of ?õ????ideal?õ???? attitude from doctors. In India even teachers strike for better pay by boycotting board exams. Since the public is so obsessed with the argument that doctors deal with people?õ????s lives so they shouldn?õ????t go on strikes, it?õ????s strange why they don?õ????t employ it when doctors demand better pay: how can they stand someone who deals with their very lives being paid so miserably? Of course life is priceless, and to be honest any pay that a doctor gets is perhaps always going to be ?õ????inadequate?õ???? by such parameters. Still, everyone has a right to a decent life, be it doctors, teachers or taxi drivers. So when govt apathy forces them to go on strike, we should at least display some empathy.
Secondly, as has been time and again pointed out by doctors themselves and by some sensible journalists (yes they do exist!), the living conditions of most resident doctors in India are totally outrageous. Cramped rooms, filthy bathrooms, pests everywhere, inadequate sleep, sudden patient and politician violence ?õ???? you name it. The government is aware of all that but does almost nothing concrete. And then when things go out of hand, a strike becomes inevitable. Resident doctors won?õ????t go on a strike unless forced to: toiling hard to see a smile on a patient?õ????s face is much more satisfying than dealing with idiotic, corrupt, selfish authorities.
"	
Can you think of a famous Mexican who is pretty cool and interesting?	"Like many others have said, there are a lot of people to choose from. Personally I find Elena Poniatowska a very cool and interesting woman.
Here are 10 interesting facts about her:
"	
Why do not dogs often attack birds but cats do despite both being carnivorous animals?	"Dogs will
This was my Chesapeake Bay Retriever, Gracie,
"	
Why is sampling of petroleum products at an outer anchorage considered a dangerous job?	"There are several risks when doing the sample - you can fall in the water, there maybe moving parts (Like you are taking samples from the sea in a boat), there are contamination risks, spills - and so on - the one thing about risks is that you need to quantify exposure and likelihood - and that being said - you will verify that most jobs are risky, somehow.
"	
